Car brand;Page's link;USD price;City
Skoda Karoq 2022 Style 1.4 TSI AT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-karoq-1892635.html;31 588 $;Полтава
Skoda Karoq 2022 Style 1.4 TSI AT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-karoq-1894455.html;28 350 $;Одесса
Skoda Kodiaq 2022 L&K 2.0 TDI CR 7-DSG (200 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1895005.html;51 224 $;Полтава
Skoda Karoq 2022 Style 1.4 TSI AT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-karoq-1894816.html;28 643 $;Черкассы
Skoda Scala 2022 Ambition 1.6 MPI MT (110 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-scala-1894840.html;18 642 $;Кропивницкий (Кировоград)
Skoda Karoq 2022 Style 1.4 TSI AT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-karoq-1895121.html;27 598 $;Киев
Skoda Octavia 2022 Style 1.6 MPI AT (110 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-octavia-1894811.html;29 895 $;Черкассы
Skoda Kodiaq 2022 L&K 2.0 TSI 7-DSG (180 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1894876.html;48 705 $;Ивано-Франковск
Skoda Kodiaq 2022 Style 2.0 TDI CR 7-DSG (150 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1890215.html;43 432 $;Хмельницкий
Skoda Scala 2022 Active 1.6 MPI MT (110 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-scala-1894309.html;19 743 $;Полтава
Skoda Kodiaq 2022 Spotline 2.0 TDI CR 7-DSG (200 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1892604.html;50 663 $;Полтава
Skoda Kodiaq 2022 Style 2.0 TDI CR 7-DSG (150 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1892015.html;39 014 $;Одесса
Skoda Karoq 2022 Style 1.4 TSI AT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-karoq-1892579.html;28 650 $;Одесса
Skoda Kodiaq 2022 Spotline 2.0 TDI CR 7-DSG (150 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1894877.html;42 590 $;Винница
Skoda Superb 2022 Style 2.0 TSI 7DSG (190 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-superb-1891482.html;38 615 $;Черкассы
Skoda Kodiaq 2022 Individual 2.0 TSI 7-DSG (180 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1892723.html;38 117 $;Тернополь
Skoda Karoq 2022 Style 1.4 TSI AT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-karoq-1891843.html;28 151 $;Ивано-Франковск
Skoda Karoq 2022 Style 1.4 TSI AT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-karoq-1891225.html;28 401 $;Тернополь
Skoda Scala 2022 Style 1.6 MPI MT (110 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-scala-1894819.html;20 354 $;Черкассы
Skoda Karoq 2022 Style 1.4 TSI AT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-karoq-1891806.html;28 144 $;Ивано-Франковск
Skoda Karoq 2022 Individual 2.0 TDI DSG (150 к.с.) AWD;https://auto.ria.com/uk/newauto/auto-skoda-karoq-1893968.html;45 770 $;Кременчуг
Skoda Kodiaq 2022 Spotline 2.0 TSI 7-DSG (180 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1894316.html;40 371 $;Кропивницкий (Кировоград)
Skoda Kodiaq 2022 Spotline 2.0 TDI CR 7-DSG (200 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1894619.html;50 663 $;Полтава
Skoda Kodiaq 2022 Spotline 2.0 TDI CR 7-DSG (150 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1894531.html;42 850 $;Ивано-Франковск
Skoda Octavia 2022 Active 1.4 TSI MT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-octavia-1892204.html;21 300 $;Ивано-Франковск
Skoda Octavia 2022 Active 1.4 TSI MT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-octavia-1892427.html;21 300 $;Ивано-Франковск
Skoda Kodiaq 2022 Spotline 2.0 TSI 7-DSG (180 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1894369.html;40 371 $;Кропивницкий (Кировоград)
Skoda Kodiaq 2022 Spotline 2.0 TDI CR 7-DSG (200 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1894408.html;45 803 $;Кропивницкий (Кировоград)
Skoda Kodiaq 2022 Spotline 2.0 TDI CR 7-DSG (150 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1894424.html;42 593 $;Кропивницкий (Кировоград)
Skoda Kodiaq 2022 Style 2.0 TSI 7-DSG (180 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1891873.html;36 986 $;Ивано-Франковск
Skoda Kodiaq 2022 Style 2.0 TSI 7-DSG (180 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1893608.html;37 857 $;Одесса
Skoda Kodiaq 2022 Style 2.0 TDI CR 7-DSG (150 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1893196.html;41 779 $;Полтава
Skoda Kodiaq 2022 Style 2.0 TDI CR 7-DSG (150 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1892646.html;44 034 $;Полтава
Skoda Kodiaq 2022 Style 2.0 TDI CR 7-DSG (150 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1893199.html;44 034 $;Полтава
Skoda Kodiaq 2022 Style 2.0 TDI CR 7-DSG (150 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1894476.html;41 202 $;Одесса
Skoda Kodiaq 2022 Style 2.0 TSI 7-DSG (180 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1891818.html;37 843 $;Ивано-Франковск
Skoda Kodiaq 2022 L&K 2.0 TSI 7-DSG (180 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1892313.html;48 709 $;Ивано-Франковск
Skoda Kodiaq 2022 Style 2.0 TSI 7-DSG (180 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1879898.html;36 996 $;Ивано-Франковск
Skoda Kodiaq 2022 Style 2.0 TSI 7-DSG (180 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1891815.html;36 996 $;Ивано-Франковск
Skoda Fabia 2022 Ambition 1.0 MPI MT (80 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-fabia-1889337.html;15 219 $;Одесса
Skoda Karoq 2022 Style 1.4 TSI AT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-karoq-1892500.html;29 491 $;Хмельницкий
Skoda Kodiaq 2022 L&K 2.0 TSI 7-DSG (180 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1894402.html;44 784 $;Хмельницкий
Skoda Octavia 2022 Ambition 1.4 TSI MT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-octavia-1894553.html;22 391 $;Винница
Skoda Karoq 2022 Style 1.4 TSI AT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-karoq-1891250.html;27 601 $;Чернигов
Skoda Octavia 2022 Style 1.4 TSI AT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-octavia-1894723.html;29 036 $;Ивано-Франковск
Skoda Kodiaq 2022 Style 2.0 TSI 7-DSG (180 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1894049.html;37 857 $;Днепр (Днепропетровск)
Skoda Kodiaq 2022 Ambition 2.0 TDI CR 7-DSG (150 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1894965.html;37 123 $;Мукачево
Skoda Kodiaq 2022 Style 2.0 TSI 7-DSG (180 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1892050.html;39 530 $;Кременчуг
Skoda Kodiaq 2022 Ambition 2.0 TSI 7-DSG (180 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1891931.html;38 266 $;Кременчуг
Skoda Kamiq 2022 Active 1.6 MPI MT (110 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-kamiq-1892639.html;20 009 $;Кременчуг
Skoda Karoq 2022 Style 1.4 TSI AT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-karoq-1890875.html;27 778 $;Полтава
Skoda Kodiaq 2022 Style 2.0 TDI CR 7-DSG (150 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1891879.html;41 081 $;Полтава
Skoda Kamiq 2022 Ambition 1.6 MPI AT (110 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-kamiq-1894894.html;21 051 $;Винница
Skoda Karoq 2022 Style 1.4 TSI AT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-karoq-1891439.html;30 386 $;Полтава
Skoda Kodiaq 2022 Style 2.0 TSI 7-DSG (180 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1894783.html;36 921 $;Ровно
Skoda Karoq 2022 Style 1.4 TSI AT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-karoq-1894961.html;27 588 $;Мукачево
Skoda Karoq 2022 Style 1.4 TSI AT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-karoq-1894862.html;27 653 $;Днепр (Днепропетровск)
Skoda Octavia 2022 Ambition 1.4 TSI AT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-octavia-1894960.html;25 358 $;Мукачево
Skoda Superb 2022 Style 2.0 TSI 7DSG (190 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-superb-1878619.html;41 262 $;Ивано-Франковск
Skoda Octavia 2022 Ambition 1.4 TSI AT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-octavia-1893841.html;25 286 $;Полтава
Skoda Karoq 2022 Ambition 1.4 TSI AT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-karoq-1894458.html;28 649 $;Кременчуг
Skoda Octavia 2022 Ambition 1.4 TSI MT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-octavia-1894964.html;23 154 $;Мукачево
Skoda Octavia 2022 Active 1.4 TSI MT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-octavia-1894963.html;21 417 $;Мукачево
Skoda Kodiaq 2022 L&K 2.0 TSI 7-DSG (180 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1894656.html;43 537 $;Днепр (Днепропетровск)
Skoda Kodiaq 2022 Style 2.0 TDI CR 7-DSG (150 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1890978.html;39 026 $;Ивано-Франковск
Skoda Kodiaq 2022 Style 2.0 TSI 7-DSG (180 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1881702.html;37 843 $;Ивано-Франковск
Skoda Kamiq 2022 Ambition 1.6 MPI AT (110 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-kamiq-1892045.html;21 793 $;Полтава
Skoda Octavia 2022 Ambition 1.4 TSI AT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-octavia-1894994.html;23 881 $;Чернигов
Skoda Kamiq 2022 Ambition 1.6 MPI MT (110 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-kamiq-1894781.html;20 927 $;Полтава
Skoda Karoq 2022 Style 1.4 TSI AT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-karoq-1892244.html;27 653 $;Днепр (Днепропетровск)
Skoda Kodiaq 2022 Style 2.0 TDI CR 7-DSG (150 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1892249.html;39 599 $;Днепр (Днепропетровск)
Skoda Kamiq 2022 Ambition 1.6 MPI AT (110 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-kamiq-1894660.html;21 948 $;Днепр (Днепропетровск)
Skoda Karoq 2022 Active 1.4 TSI AT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-karoq-1892253.html;23 914 $;Днепр (Днепропетровск)
Skoda Octavia 2022 Ambition 1.4 TSI AT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-octavia-1890221.html;25 867 $;Хмельницкий
Skoda Kodiaq 2022 Style 2.0 TDI CR 7-DSG (150 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1893953.html;39 024 $;Одесса
Skoda Kodiaq 2022 Style 2.0 TSI 7-DSG (180 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1893787.html;37 865 $;Днепр (Днепропетровск)
Skoda Kodiaq 2022 1.5 TSI DSG (150 к.с);https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1892510.html;34 878 $;Луцк
Skoda Octavia 2022 Ambition 1.4 TSI MT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-octavia-1892499.html;23 411 $;Луцк
Skoda Kamiq 2022 Active 1.6 MPI MT (110 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-kamiq-1893017.html;21 315 $;Киев
Skoda Fabia 2022 Ambition 1.0 TSI MT (95 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-fabia-1892016.html;15 486 $;Киев
Skoda Karoq 2022 Active 1.4 TSI AT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-karoq-1882476.html;24 093 $;Киев
Skoda Kamiq 2022 Active 1.6 MPI AT (110 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-kamiq-1894013.html;19 900 $;Винница
Skoda Kamiq 2022 Style 1.6 MPI MT (110 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-kamiq-1890962.html;21 644 $;Винница
Skoda Karoq 2022 Style 1.4 TSI AT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-karoq-1892728.html;29 176 $;Киев
Skoda Kamiq 2022 Active 1.6 MPI MT (110 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-kamiq-1894014.html;19 581 $;Винница
Skoda Karoq 2022 Style 1.4 TSI AT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-karoq-1892747.html;28 650 $;Винница
Skoda Kodiaq 2022 Spotline 2.0 TSI 7-DSG (180 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1892786.html;43 587 $;Винница
Skoda Octavia 2022 Ambition 1.4 TSI AT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-octavia-1892917.html;25 487 $;Киев
Skoda Octavia 2022 Ambition 1.4 TSI AT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-octavia-1894733.html;25 881 $;Киев
Skoda Kamiq 2022 Ambition 1.6 MPI AT (110 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-kamiq-1893790.html;23 251 $;Киев
Skoda Superb 2022 Style 2.0 TSI 7DSG (190 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-superb-1892447.html;39 021 $;Винница
Skoda Superb 2022 Style 2.0 TSI 7DSG (190 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-superb-1892943.html;40 985 $;Киев
Skoda Kamiq 2022 Style 1.6 MPI AT (110 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-kamiq-1891030.html;23 091 $;Киев
Skoda Superb 2022 Style 2.0 TSI 7DSG (190 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-superb-1894857.html;40 985 $;Киев
Skoda Octavia 2022 Ambition 1.4 TSI AT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-octavia-1894858.html;25 487 $;Киев
Skoda Kodiaq 2022 Spotline 2.0 TSI 7-DSG (180 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1888900.html;37 921 $;Киев
Skoda Karoq 2022 Ambition 1.4 TSI AT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-karoq-1888898.html;25 568 $;Киев
Skoda Karoq 2022 Style 2.0 TDI DSG (150 к.с.) AWD;https://auto.ria.com/uk/newauto/auto-skoda-karoq-1891426.html;34 766 $;Киев
Skoda Octavia 2022 Style 2.0 TDI MT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-octavia-1893280.html;32 323 $;Киев
Skoda Kodiaq 2022 Style 2.0 TSI 7-DSG (180 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1894094.html;39 115 $;Киев
Skoda Kodiaq 2022 Style 2.0 TDI CR 7-DSG (200 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1885258.html;44 920 $;Киев
Skoda Fabia 2022 Ambition 1.0 TSI MT (95 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-fabia-1886097.html;16 384 $;Киев
Skoda Scala 2022 Ambition 1.6 MPI AT (110 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-scala-1884680.html;21 252 $;Киев
Skoda Kodiaq 2022 Spotline 2.0 TSI 7-DSG (180 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1892867.html;42 245 $;Киев
Skoda Kodiaq 2022 Spotline 2.0 TSI 7-DSG (180 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1891305.html;39 958 $;Киев
Skoda Kodiaq 2022 Style 2.0 TDI CR 7-DSG (150 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1891043.html;40 910 $;Киев
Skoda Octavia 2022 Style 2.0 TDI MT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-octavia-1891028.html;32 323 $;Киев
Skoda Kodiaq 2022 Spotline 2.0 TSI 7-DSG (180 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1890345.html;37 448 $;Киев
Skoda Scala 2022 Active 1.6 MPI MT (110 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-scala-1894734.html;18 622 $;Киев
Skoda Karoq 2022 Style 1.4 TSI AT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-karoq-1892039.html;29 298 $;Киев
Skoda Fabia 2022 Ambition 1.0 TSI MT (95 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-fabia-1891092.html;15 486 $;Киев
Skoda Kodiaq 2022 L&K 2.0 TDI CR 7-DSG (200 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1893545.html;53 152 $;Киев
Skoda Karoq 2022 Style 1.4 TSI AT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-karoq-1893271.html;28 492 $;Киев
Skoda Octavia 2022 Ambition 1.4 TSI AT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-octavia-1892033.html;24 539 $;Киев
Skoda Kodiaq 2022 Spotline 2.0 TSI 7-DSG (180 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1890346.html;37 921 $;Киев
Skoda Karoq 2022 Active 1.4 TSI AT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-karoq-1882475.html;24 586 $;Киев
Skoda Kodiaq 2022 Style 2.0 TDI CR 7-DSG (150 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1892048.html;40 046 $;Киев
Skoda Karoq 2022 Style 1.4 TSI AT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-karoq-1890350.html;26 614 $;Киев
Skoda Karoq 2022 Style 1.4 TSI AT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-karoq-1894856.html;31 096 $;Киев
Skoda Kodiaq 2022 Style 2.0 TDI CR 7-DSG (150 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1893553.html;40 551 $;Киев
Skoda Karoq 2022 Active 1.4 TSI AT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-karoq-1883820.html;24 703 $;Киев
Skoda Karoq 2022 Style 1.4 TSI AT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-karoq-1890324.html;29 298 $;Киев
Skoda Karoq 2022 Active 1.4 TSI AT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-karoq-1882477.html;24 703 $;Киев
Skoda Kodiaq 2022 Ambition 2.0 TSI 7-DSG (180 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1892042.html;35 652 $;Киев
Skoda Kodiaq 2022 Style 2.0 TSI 7-DSG (180 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1888899.html;33 914 $;Киев
Skoda Kodiaq 2022 Style 2.0 TDI CR 7-DSG (150 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1892044.html;44 057 $;Киев
Skoda Karoq 2022 Style 1.4 TSI AT (150 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-karoq-1892041.html;33 948 $;Киев
Skoda Kodiaq 2022 Style 2.0 TDI CR 7-DSG (200 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1892043.html;45 109 $;Киев
Skoda Kodiaq 2022 Style 2.0 TDI CR 7-DSG (150 к.с.) 4х4;https://auto.ria.com/uk/newauto/auto-skoda-kodiaq-1892047.html;39 243 $;Киев
